id,topic,title,context,conflict,cultural_note,batch_id,option_1,option_2
11,Quan hệ thầy trò,Áp lực dạy thêm trá hình,"Minh, học sinh lớp 9 trường THCS Bình Minh, học lực khá giỏi. Cô Hương, giáo viên Toán chủ nhiệm nổi tiếng, thông báo mở lớp dạy thêm ngoài giờ và 'khuyến khích' tất cả học sinh khá giỏi trong lớp tham gia, nói rằng kiến thức trên lớp không đủ để thi vào trường chuyên. Gia đình Minh khó khăn, không đủ tiền cho em đi học thêm.","Mâu thuẫn giữa nhu cầu học tập, áp lực từ giáo viên và mong muốn công bằng trong giáo dục với gánh nặng kinh tế của gia đình.","Trong văn hóa Việt Nam, học sinh rất khó từ chối yêu cầu của thầy cô vì 'tôn sư trọng đạo' và sợ bị 'trả đũa'.",batch_02,"Vay tiền để đi học thêm theo yêu cầu của cô giáo, chấp nhận gánh nặng tài chính nhưng tránh làm mất lòng cô và đảm bảo cơ hội thi cử.","Thẳng thắn từ chối cô Hương, cố gắng tự học hoặc tìm sự giúp đỡ từ nguồn khác, nhưng chấp nhận rủi ro có thể bị cô giáo 'để ý' hoặc 'đì' trên lớp."
12,Quan hệ thầy trò,Thiên vị học sinh nhà giàu,"Lan, học sinh giỏi văn của lớp 8A trường THCS Hoa Sen, thường xuyên nhận điểm thấp cho bài kiểm tra và bài tập, dù em tự tin vào khả năng của mình. Ngược lại, Hải, con trai của một cán bộ huyện thường xuyên tặng quà cáp cho cô Thủy, giáo viên chủ nhiệm, dù học lực không nổi bật, lại luôn được cô khen ngợi và cho điểm cao, thậm chí được chọn đi thi cấp huyện thay vì Lan.",Xung đột giữa nguyên tắc công bằng trong đánh giá học tập và nỗi sợ hãi khi làm mất lòng giáo viên có quyền lực và địa vị xã hội.,"Nỗi sợ bị 'đì' và 'mang tiếng xấu' là rào cản lớn khiến học sinh và phụ huynh ngại đối đầu với giáo viên, đặc biệt khi có 'thế lực' phía sau.",batch_02,"Tiếp tục im lặng, chấp nhận điểm số không công bằng để tránh rắc rối và không làm mất lòng cô Thủy, chấp nhận thiệt thòi cho bản thân.","Nhờ phụ huynh nhẹ nhàng trao đổi với cô Thủy hoặc ban giám hiệu, chấp nhận rủi ro bị cô Thủy 'đánh dấu' hoặc tìm cách gây khó dễ cho Lan trên lớp."
13,Quan hệ thầy trò,Nâng điểm đổi 'lợi ích',"Hoàng, học sinh cuối cấp trường tư thục danh tiếng, đang rất cần điểm cao môn Lịch sử để đủ điều kiện xét tuyển vào đại học mơ ước. Thầy Phúc, giáo viên Sử, trong một buổi kiểm tra miệng, đã gợi ý Hoàng nếu 'chịu khó giúp thầy một việc nhỏ' (ý chỉ nhờ vả một dự án cá nhân liên quan đến công nghệ thông tin mà Hoàng rất giỏi) thì thầy sẽ xem xét 'cải thiện' điểm cho Hoàng.","Mâu thuẫn giữa nhu cầu điểm số cấp thiết cho tương lai học tập và sự liêm chính, đạo đức nghề nghiệp trong giáo dục.","Trong văn hóa Việt, việc từ chối 'nhờ vả' từ người lớn tuổi hơn, đặc biệt là thầy giáo, có thể bị coi là 'vô lễ' hoặc 'thiếu tinh thần giúp đỡ'.",batch_02,"Đồng ý giúp thầy Phúc để đổi lấy điểm số, đảm bảo cơ hội vào đại học nhưng cảm thấy không thoải mái và vi phạm nguyên tắc liêm chính.","Khéo léo từ chối lời đề nghị của thầy, chấp nhận rủi ro có thể không đạt được điểm cao như mong muốn và ảnh hưởng đến cơ hội vào đại học."
14,Quan hệ thầy trò,Áp lực quà cáp ngày lễ,"Đến Ngày Nhà giáo Việt Nam 20/11, phụ huynh của An, học sinh lớp 3 trường Tiểu học Vàng Anh, đã bàn nhau mua một món quà đắt tiền và phong bì gửi riêng cho cô chủ nhiệm. Mẹ An biết cô giáo là người rất liêm chính và luôn từ chối nhận quà, nhưng nhiều phụ huynh khác khẳng định 'phải biết điều' và nếu không làm vậy, cô sẽ để ý và con mình có thể bị thiệt thòi.",Xung đột giữa liêm chính cá nhân và đạo đức nghề nghiệp của giáo viên (cũng như phụ huynh) với áp lực từ tập thể và nỗi lo lắng cho tương lai của con cái.,"Nếp nghĩ 'phải biết điều', 'đối nhân xử thế' với thầy cô để con được quan tâm hơn là một yếu tố văn hóa mạnh mẽ ở Việt Nam.",batch_02,Tham gia vào việc mua quà và phong bì cùng các phụ huynh khác để không bị 'lạc loài' và hy vọng con được quan tâm hơn từ cô giáo.,"Giữ vững nguyên tắc, không tham gia vào việc biếu quà, nhưng phải đối mặt với áp lực từ các phụ huynh và nỗi lo con mình có thể bị phân biệt đối xử."
16,Quan hệ thầy trò,Hoạt động 'bắt buộc' có thu phí,"Cô Lan, giáo viên chủ nhiệm lớp 7A ở một trường nông thôn, là người có tiếng nói nhất trong trường. Cô yêu cầu tất cả học sinh trong lớp phải tham gia một buổi dã ngoại cuối tuần do cô tự tổ chức, với chi phí khá cao so với khả năng của nhiều gia đình. Cô nói rõ đây là 'hoạt động bắt buộc' để rèn luyện kỹ năng sống, khiến các phụ huynh lo lắng nếu con không đi sẽ bị cô 'để ý'.","Xung đột giữa quyền lợi của học sinh, gánh nặng kinh tế của gia đình và nguyên tắc minh bạch trong giáo dục với áp lực tuân thủ quy định của giáo viên.","Địa vị xã hội cao của giáo viên, đặc biệt ở cộng đồng nông thôn, khiến phụ huynh khó lòng phản đối trực tiếp các quyết định của thầy cô.",batch_02,"Vận động gia đình đóng tiền cho con tham gia, dù phải chắt bóp chi tiêu, để tránh làm mất lòng cô và con không bị cô lập.","Thay mặt phụ huynh trong lớp, khéo léo đề nghị cô xem xét lại tính 'bắt buộc' và chi phí của hoạt động, chấp nhận nguy cơ cô Lan 'ghi nhớ' việc này và có thể ảnh hưởng đến con em họ."
18,Quan hệ thầy trò,Bắt nạt và sự thiên vị,"Khánh, học sinh giỏi môn Anh văn của trường THPT Kim Đồng, thường xuyên bị Linh, con gái của một mạnh thường quân lớn của trường, bắt nạt và chê bai. Linh được cô giáo tiếng Anh Ngọc Anh ưu ái ra mặt, thậm chí còn bỏ qua những hành vi không đúng mực của Linh. Khánh muốn tố cáo Linh nhưng sợ sẽ làm mất lòng cô Ngọc Anh và bị cô 'cho điểm kém' hoặc bị cô lập trong lớp.","Xung đột giữa công lý, an toàn cá nhân và sự công bằng trong lớp học với nỗi sợ bị trả thù từ cả học sinh 'có thế lực' và giáo viên.",Áp lực giữ im lặng để tránh rắc rối và sự e ngại khi tố cáo học sinh 'có thế lực' là một thực tế phổ biến trong môi trường học đường Việt Nam.,batch_02,"Tiếp tục chịu đựng sự bắt nạt, cố gắng tránh Linh và không làm mất lòng cô giáo để giữ hòa khí và điểm số môn Anh văn.","Mạnh dạn báo cáo tình hình với giáo viên chủ nhiệm hoặc ban giám hiệu, chấp nhận đối mặt với sự tức giận của Linh và có thể là thái độ thiếu thiện chí của cô Ngọc Anh."
19,Quan hệ thầy trò,Gợi ý 'tình cảm' đổi lợi ích,"Hằng, một nữ sinh viên năm cuối sắp tốt nghiệp ngành Sư phạm tại một trường đại học ở thành phố. Thầy Minh, giảng viên hướng dẫn khóa luận của Hằng, một người có địa vị cao trong khoa, đã nhiều lần mời Hằng đi ăn riêng, và trong những cuộc gặp đó, thầy thường xuyên khen ngợi Hằng và bóng gió về việc có thể 'giúp đỡ' Hằng có một suất công tác tốt sau khi ra trường, đồng thời gợi ý một mối quan hệ 'đặc biệt' hơn.","Mâu thuẫn giữa cơ hội nghề nghiệp tương lai và liêm chính, phẩm giá cá nhân, cũng như đạo đức nghề nghiệp của cả giảng viên và sinh viên.","Trong xã hội Việt Nam, áp lực phải 'chiều lòng' người có quyền lực cao hơn, đặc biệt là thầy cô, để có tương lai tốt là rất lớn, đồng thời ranh giới giữa sự giúp đỡ và lợi dụng đôi khi rất mờ nhạt.",batch_02,"Tiếp tục giữ mối quan hệ 'đặc biệt' với thầy Minh, hy vọng vào một tương lai tươi sáng và cơ hội việc làm tốt, nhưng cảm thấy bị lợi dụng và vi phạm đạo đức.","Khéo léo từ chối những lời mời và gợi ý của thầy, chấp nhận rủi ro có thể mất đi cơ hội việc làm tốt và bị thầy 'đánh rớt' hoặc gây khó dễ trong quá trình bảo vệ khóa luận."
20,Quan hệ thầy trò,Bao che cho gian lận của giáo viên,"Trong kỳ thi giữa kỳ môn Ngữ Văn, cô Yến, giáo viên chấm thi kiêm chủ nhiệm lớp 12A, đã có hành vi 'nâng điểm' cho một số học sinh 'con ông cháu cha' hoặc những em có gia đình thân thiết với cô, mà không theo đúng tiêu chí chấm bài. Điều này khiến một số học sinh trong lớp, bao gồm Tú, cảm thấy bất công nhưng không ai dám nói ra vì sợ ảnh hưởng đến cô Yến và cả lớp có thể bị 'ảnh hưởng' nếu sự việc bị phanh phui.","Xung đột giữa công bằng, trung thực trong giáo dục và áp lực tập thể cùng nỗi sợ hãi bị 'kì thị' hoặc 'trả đũa' nếu tố cáo giáo viên.","Tâm lý 'dĩ hòa vi quý', ngại làm người khác mất thể diện và sự sợ hãi bị 'phản bội' bởi tập thể nếu đứng lên chống lại người có quyền là những yếu tố văn hóa mạnh mẽ trong trường học Việt Nam.",batch_02,"Giữ im lặng, chấp nhận sự bất công để tránh xích mích với cô Yến và các bạn trong lớp, duy trì sự ổn định của tập thể.","Tìm cách ẩn danh báo cáo sự việc lên ban giám hiệu hoặc phòng giáo dục, nhưng phải đối mặt với nguy cơ bị phát hiện và bị cô Yến, hoặc thậm chí một số bạn bè, cô lập và xem là 'kẻ phản bội'."
11,Quan hệ thầy trò,Áp lực học thêm và điểm số,"Trung, học sinh lớp 9A, có hoàn cảnh khó khăn nên không thể theo học lớp bổ trợ Toán của cô Thảo, giáo viên chủ nhiệm. Trung vẫn cố gắng tự học và đạt điểm khá, nhưng cô Thảo thường xuyên bóng gió về việc 'không theo kịp chương trình' hoặc 'thiếu nền tảng' trong các bài giảng, khiến Trung cảm thấy áp lực và bị cô lập.",Trung đứng trước mâu thuẫn giữa việc giữ im lặng chịu đựng sự phân biệt đối xử để không 'phản bác thầy cô' và nguy cơ bị điểm kém oan uổng do định kiến.,"Trong văn hóa Việt Nam, việc học sinh 'phản bác' hay 'than phiền' về giáo viên thường bị coi là 'vô lễ' và có thể dẫn đến hậu quả tiêu cực cho bản thân.",batch_02,"Tiếp tục cố gắng tự học và chịu đựng những lời bóng gió, hy vọng cô Thảo sẽ công tâm hơn khi chấm điểm cuối kỳ, chấp nhận rủi ro bị đánh giá thấp vì không theo học thêm.","Nhờ bố mẹ (dù khó khăn) tìm cách nói chuyện riêng với cô Thảo để bày tỏ nguyện vọng và khó khăn, mạo hiểm làm mất lòng cô và có thể bị 'để ý' hơn trong các bài kiểm tra sau này."
12,Quan hệ thầy trò,Thiên vị học sinh con nhà 'quan hệ',"Thầy Nam, giáo viên chủ nhiệm lớp 11B, thường xuyên dành những vai trò quan trọng trong các dự án nhóm hay hoạt động ngoại khóa cho Khánh, con của một lãnh đạo sở giáo dục, dù Khánh không thực sự nổi trội. Các ý kiến đóng góp của Khánh luôn được thầy Nam ưu tiên lắng nghe, trong khi các học sinh khác, đặc biệt là Mai có năng lực hơn, lại ít có cơ hội thể hiện mình.","Mai cảm thấy bất công khi nỗ lực của mình không được công nhận vì sự thiên vị của giáo viên, đứng giữa việc chấp nhận thực tế để tránh xích mích hoặc tìm cách bày tỏ, đối mặt với nguy cơ bị thầy 'ghét' và ảnh hưởng đến đánh giá học tập.","Sức ảnh hưởng của 'quan hệ' và 'thể diện' gia đình thường được coi trọng trong xã hội Việt Nam, khiến nhiều người e ngại khi đối đầu với những người có địa vị.",batch_02,"Chủ động tìm cơ hội khác để thể hiện năng lực ngoài những dự án của thầy Nam, chấp nhận việc mình có thể bị 'lép vế' trong các hoạt động trên lớp để không đối đầu trực tiếp với thầy.","Thử góp ý một cách khéo léo với thầy Nam về việc phân công nhiệm vụ trong nhóm hoặc nhờ phụ huynh (nếu có thể) tìm cách nói chuyện với thầy, chấp nhận rủi ro thầy Nam sẽ có thái độ tiêu cực với mình."
21,Áp lực thi cử & sức khỏe tâm thần,Bí mật của Thảo: Đằng sau nụ cười,"Thảo, học sinh lớp 12 chuyên Văn, luôn là niềm tự hào của gia đình với bảng thành tích xuất sắc. Tuy nhiên, gần đây Thảo thường xuyên mất ngủ, sụt cân và có những cơn hoảng loạn nhẹ mỗi khi nghĩ đến kỳ thi THPT Quốc gia sắp tới. Thảo sợ hãi việc không đạt điểm cao, sẽ làm cha mẹ thất vọng, vì họ đã dành hết tiền tiết kiệm cho các lớp học thêm của em.",Thảo phải đối mặt giữa việc tiếp tục giấu bệnh để gồng mình ôn thi nhằm giữ gìn danh dự gia đình và nguy cơ suy sụp sức khỏe tâm thần trầm trọng hơn.,Áp lực 'con phải vào trường top' và không dám làm cha mẹ thất vọng là gánh nặng tâm lý lớn đối với học sinh Việt Nam.,batch_03,"A. Thảo cố gắng chịu đựng, vờ như mọi chuyện ổn thỏa và tiếp tục ôn thi cường độ cao, hy vọng sau kỳ thi mọi thứ sẽ qua đi. Kết quả: Có thể đạt được mục tiêu học tập nhưng sức khỏe tâm thần ngày càng xấu đi, có nguy cơ trầm cảm nặng.","B. Thảo mạnh dạn chia sẻ tình trạng của mình với cha mẹ, dù biết họ có thể lo lắng hoặc thất vọng. Kết quả: Có thể nhận được sự hỗ trợ từ gia đình nhưng đồng thời cũng đối mặt với áp lực tâm lý từ cha mẹ hoặc sự thiếu hiểu biết của họ về sức khỏe tâm thần."
